receiver_dist_m,nearest_m,margin_m,nearest_same_m,nearest_other_m,n_within_8m,n_within_3m,pass_distance_m,pass_interval_s,inferred,passer,receiver,window,ours,truth,correct
1.8387963049412994,1.8387963049412994,0.5625724250944171,1.8387963049412994,2.4013687300357165,7,3,3.5,1.12,False,3,124,w2 stoke 4010,success,success,True
1.3195315851350182,1.3195315851350182,0.5714869277149068,1.3195315851350182,3.483689283746815,11,3,3.9,1.08,False,43,3,w2 stoke 4010,success,success,True
3.5013394620311935,3.5013394620311935,2.3951632077949503,5.896502669826144,3.5013394620311935,5,0,2.4,0.68,True,130,155,w2 stoke 4010,intercepted,success,False
4.409710973694269,4.409710973694269,0.7946423044832631,4.409710973694269,6.273849785149135,8,0,6.1,0.36,True,198,235,w2 stoke 4010,success,success,True
1.3768284024602166,1.3768284024602166,1.133224842804838,1.3768284024602166,2.5100532452650546,9,4,17.8,1.76,True,124,132,w2 stoke 4010,success,success,True
1.8604396917697799,1.8604396917697799,0.7103964209879956,1.8604396917697799,2.5708361127577755,4,2,0.5,0.08,False,168,155,w2 stoke 4010,success,intercepted,False
4.416416581969093,4.416416581969093,9.961715441112128,4.416416581969093,14.378132023081221,1,0,5.3,0.32,True,155,135,w2 stoke 4010,success,intercepted,False
0.9262276220139952,0.9262276220139952,1.9119904340653768,2.838218056079372,0.9262276220139952,8,2,10.9,0.48,True,153,160,w2 stoke 4010,intercepted,success,False
3.00053385237709,3.00053385237709,0.13537299273878256,3.1359068451158727,3.00053385237709,6,0,5.1,0.56,True,164,110,w2 stoke 4010,intercepted,success,False
1.190008412338811,1.190008412338811,2.337929039004199,1.190008412338811,3.5279374513430097,5,1,7.9,1.64,True,125,127,w2 stoke 4010,success,success,True
3.7837991561872117,3.7837991561872117,0.6141226426532427,3.7837991561872117,7.0783953739373215,6,0,1.4,0.16,True,155,127,w2 stoke 4010,success,success,True
4.002257488181418,4.002257488181418,1.834470991196084,5.836728479377502,4.002257488181418,3,0,22.1,1.64,True,127,184,w2 stoke 4010,intercepted,intercepted,True
2.000720016632736,2.000720016632736,3.313534351824758,9.219585998333823,2.000720016632736,6,1,8.5,0.72,True,11,1,w2 stoke 4010,intercepted,success,False
1.057508784107785,1.057508784107785,0.5623218110453494,4.269410501082013,1.057508784107785,8,2,8.5,1.4,True,138,127,w2 stoke 4010,intercepted,intercepted,True
2.7591873833000196,2.7591873833000196,0.4458895275986072,2.7591873833000196,3.205076910898627,8,1,0.5,0.04,False,60,32,w2 stoke 4010,success,success,True
3.222550959382887,3.222550959382887,0.42110996593343053,3.9610634787594825,3.222550959382887,6,0,0.4,0.04,False,195,191,w2 stoke 4010,intercepted,success,False
3.8634033178720064,3.8634033178720064,0.8989371254833745,4.952160595909224,3.8634033178720064,7,0,2.3,0.2,True,78,32,w2 stoke 4010,intercepted,intercepted,True
1.8918043369707795,1.8918043369707795,0.5754898046139278,1.8918043369707795,2.4672941415847074,4,2,1.2,0.2,True,235,248,w2 stoke 4010,success,intercepted,False
3.204866154769524,3.204866154769524,0.7746446826683799,3.979510837437904,3.204866154769524,3,0,16.4,0.64,True,115,120,w2 stoke 4010,intercepted,success,False
2.8073865663089657,2.8073865663089657,0.8432536497835588,2.8073865663089657,3.6506402160925244,6,1,2.9,0.6,False,218,171,w3 stoke 320,success,success,True
0.9878082792530805,0.9878082792530805,3.400036522313785,7.970015135695535,0.9878082792530805,3,1,3.9,0.44,True,99,171,w3 stoke 320,intercepted,success,False
0.22221619676292723,0.22221619676292723,2.5979039918263376,0.22221619676292723,4.751729476714885,5,2,10.6,0.6,True,54,102,w3 stoke 320,success,success,True
0.7390935370993572,0.7390935370993572,0.5678357650278862,1.3069293021272435,0.7390935370993572,6,4,0.5,0.04,False,5,59,w3 stoke 320,intercepted,success,False
4.5792675453729315,4.5792675453729315,2.726901771774889,7.306169317147821,4.5792675453729315,2,0,10.3,0.52,True,59,45,w3 stoke 320,intercepted,success,False
3.0085413290264107,3.0085413290264107,0.051242821234708025,3.800080679942138,3.0085413290264107,9,0,15.4,1.68,True,171,181,w3 stoke 320,intercepted,success,False
1.4879284144069536,1.4879284144069536,0.039734690746958234,2.2928063176121722,1.4879284144069536,9,3,2.2,0.52,True,24,19,w3 stoke 320,intercepted,intercepted,True
3.0136304773790803,3.0136304773790803,0.8501087984256115,3.863739275804692,3.0136304773790803,5,0,6.1,0.76,False,63,102,w3 stoke 320,intercepted,success,False
4.319620763143208,4.319620763143208,0.7595472855757253,4.319620763143208,5.434685221365219,5,0,3.1,0.48,False,102,54,w3 stoke 320,success,success,True
2.8141505678904726,2.8141505678904726,0.09536578909602245,2.909516356986495,2.8141505678904726,3,2,2.1,0.24,True,171,99,w3 stoke 320,intercepted,success,False
0.9689844883673191,0.9689844883673191,1.8283270618053884,6.9732973025274285,0.9689844883673191,5,2,8.5,0.6,True,103,63,w3 stoke 320,intercepted,intercepted,True
5.601264240729375,5.601264240729375,0.7267195562397823,5.601264240729375,6.327983796969157,2,0,14.1,1.08,True,215,241,w3 stoke 320,success,success,True
2.3030123794477824,2.3030123794477824,0.5561331917475365,2.3030123794477824,3.0168499483592797,6,2,1.7,0.24,True,22,24,w3 stoke 320,success,intercepted,False
3.3149698388557973,3.3149698388557973,0.7531306831044664,3.3149698388557973,4.068100521960264,3,0,4.8,1.52,True,77,54,w3 stoke 320,success,success,True
0.8023337669788868,0.8023337669788868,0.9172167061174661,1.719550473096353,0.8023337669788868,8,3,4.1,1.2,True,120,102,w3 stoke 320,intercepted,intercepted,True
1.034723374786051,1.034723374786051,0.6564952706636902,1.691218645449741,1.034723374786051,4,2,6.1,2.32,False,5,13,w3 stoke 320,intercepted,success,False
1.8194627507376837,1.8194627507376837,0.5075052005596863,1.8194627507376837,2.32696795129737,5,3,0.8,0.12,False,54,103,w3 stoke 320,success,success,True
3.692782068967125,3.692782068967125,0.8436405055807623,4.536422574547887,3.692782068967125,4,0,0.4,0.04,False,13,15,w3 stoke 320,intercepted,success,False
0.6287316163115052,0.6287316163115052,1.0488262157969426,1.6775578321084477,0.6287316163115052,4,3,0.4,0.04,False,70,67,w3 stoke 320,intercepted,success,False
6.1024249781787825,6.1024249781787825,0.5251590326496336,6.1024249781787825,10.552594930109409,2,0,1.0,0.24,True,63,65,w3 stoke 320,success,intercepted,False
3.4841778669412995,3.4841778669412995,0.7551338790058879,3.4841778669412995,4.239311745947187,9,0,4.2,1.96,True,181,99,w3 stoke 320,success,success,True
2.2723902353241066,2.2723902353241066,1.9316935200567782,5.162637917862905,2.2723902353241066,5,1,1.0,0.32,True,102,63,w3 stoke 320,intercepted,success,False
1.6434632649616732,1.6434632649616732,1.2620252654418818,2.905488530403555,1.6434632649616732,9,2,3.5,0.72,True,217,99,w3 stoke 320,intercepted,success,False
1.6017857817732009,1.6017857817732009,0.5103270833147193,2.11211286508792,1.6017857817732009,3,3,1.5,0.2,True,14,52,reading 5115,intercepted,success,False
3.498353792995843,3.498353792995843,5.433467932668954,3.498353792995843,8.931821725664797,1,0,8.9,1.36,False,56,81,reading 5115,success,success,True
3.3621083909810023,3.3621083909810023,0.12086320495492453,5.99851616941335,3.3621083909810023,8,0,13.4,1.96,True,5,26,reading 5115,intercepted,success,False
2.7135264408600066,2.7135264408600066,0.6082177886211326,2.7135264408600066,3.3217442294811392,10,1,6.2,0.2,True,19,12,reading 5115,success,success,True
1.3590594498716126,1.3590594498716126,1.041673029993912,1.3590594498716126,8.000525550375729,4,3,0.9,0.4,True,82,84,reading 5115,success,intercepted,False
1.4044725340215873,1.4044725340215873,0.8473758424009115,2.251848376422499,1.4044725340215873,2,2,0.5,0.04,False,81,71,reading 5115,intercepted,success,False
4.456642781918384,4.456642781918384,1.3645710562185993,5.821213838136983,4.456642781918384,2,0,15.1,0.56,True,12,27,reading 5115,intercepted,success,False
3.427109065939513,3.427109065939513,0.21129942379773947,3.427109065939513,6.873435841988251,6,0,0.3,0.04,False,103,85,reading 5115,success,success,True
3.1484829878294223,3.1484829878294223,0.5165143408123654,3.6649973286417876,3.1484829878294223,4,0,0.4,0.04,False,105,103,reading 5115,intercepted,success,False
1.6321032285370705,1.6321032285370705,0.37420069368326647,1.6321032285370705,2.6746333489828076,11,3,3.4,0.2,True,12,23,reading 5115,success,success,True
5.129724427026138,5.129724427026138,0.6670990475637515,5.79682347458989,5.129724427026138,2,0,0.4,0.04,False,27,7,reading 5115,intercepted,success,False
5.370009530639385,5.370009530639385,3.358861319922876,12.527069142363139,5.370009530639385,1,0,10.4,0.6,True,27,7,reading 5115,intercepted,success,False
0.36351303416518993,0.36351303416518993,2.502796415049351,3.206250072264124,0.36351303416518993,8,2,2.2,0.24,True,100,98,reading 5115,intercepted,success,False
5.53488181960294,5.53488181960294,2.6564698992807143,5.53488181960294,8.556961612157744,1,0,9.1,0.4,True,52,7,reading 5115,success,intercepted,False
1.6265161438284577,1.6265161438284577,0.5125846187797727,1.6265161438284577,6.376013356844146,6,2,3.4,0.68,False,4,3,reading 5115,success,success,True
3.845272538893942,3.845272538893942,0.5135589083797574,4.579644088145205,3.845272538893942,8,0,0.5,0.04,False,100,98,reading 5115,intercepted,success,False
1.3916512259771228,1.3916512259771228,0.6293002684807911,2.020951494457914,1.3916512259771228,7,2,0.8,0.32,False,102,100,reading 5115,intercepted,success,False
1.5552837719784571,1.5552837719784571,0.13629730285239328,1.6915810748308504,1.5552837719784571,7,3,2.7,0.72,True,98,111,reading 5115,intercepted,success,False
2.4720487861268134,2.4720487861268134,0.7222257498596405,2.4720487861268134,17.72535336128452,3,1,2.5,1.12,False,2,4,reading 5115,success,success,True
3.2446853835828793,3.2446853835828793,0.6470664537225992,3.8917518373054785,3.2446853835828793,5,0,0.4,0.04,False,105,100,reading 5115,intercepted,success,False
